category,name_or_role,public_channel,scope,matching_roles,source_url,status,next_action,notes
Public recruiter profile,Caroline Bjornson,LinkedIn,Talent acquisition partner,"Chicago; AMER recruiting signal",https://www.linkedin.com/in/carolinebjornson,Verify current status,Connect only if role scope fits,"Public profile snippet says strategic recruiter and talent acquisition partner at Stripe"
Public recruiter profile,Marie Fuchslin,LinkedIn,Technical recruiting and candidate experience,"Technical roles; San Francisco Bay Area signal",https://www.linkedin.com/in/marie-fuchslin-162a9536,Verify current status,Connect only if role scope fits,"Public recommendations reference her as a Stripe technical recruiter"
Public recruiter profile,Kayla Kahl,LinkedIn,Technical recruiting,"Technical roles; San Francisco Bay Area signal",https://www.linkedin.com/in/kayla-kahl,Verify current status,Connect only if role scope fits,"Public profile snippet says recruiting background focused on technical roles and lists Stripe"
Public recruiter profile,Cat Motz,LinkedIn,Recruiting leader and partner,"Recruiting leadership; Seattle signal",https://www.linkedin.com/in/catmotz,Verify current status,Use sparingly if role scope fits,"Public recommendations reference Stripe recruiting leadership"
Public recruiter profile,Pierce Kline,LinkedIn,Senior recruiting,"Recruiting; Austin signal",https://www.linkedin.com/in/piercekline,Verify current status,Connect only if role scope fits,"Public profile snippet says experienced senior recruiter and lists Stripe"
Public recruiter profile,Lisa Gardiner,LinkedIn,GTM recruiting,"Go-to-market; sales; business roles",https://www.linkedin.com/in/lisa-gardiner,Verify current status,Use for GTM roles only,"Public profile snippet says helping build and scale Stripe Go-to-Market org"
Public recruiter profile,Roberto Guerrero Jr.,LinkedIn,Senior recruiting,"Recruiting; San Francisco Bay Area signal",https://www.linkedin.com/in/roberto-guerrero-jr-92235047,Verify current status,Connect only if role scope fits,"Public profile snippet says experienced senior recruiter and lists Stripe"
Public recruiter profile,Nicky Johnson,LinkedIn,Recruiting partner,"Technical or team-specific roles; Seattle signal",https://www.linkedin.com/in/nicolejohnson4,Verify current status,Connect only if role scope fits,"Public recommendations reference helping teams hire at Stripe"
Public recruiter profile,Ashleigh Zak,LinkedIn,Recruiting and founder ecosystem signal,"Founder/startup ecosystem; possible recruiting scope",https://www.linkedin.com/in/ashleighway,Verify current status,Use only if scope fits,"Public profile lists Stripe and has recruiting recommendations"
Public recruiter profile,Saoirse Comerford,LinkedIn,Talent acquisition leadership,"EMEA engineering growth; recruiting leadership",https://ie.linkedin.com/in/saoirse-comerford-67757a108,Verify current status,Use for EMEA routing signal,"Public profile says Talent Acquisition Leader driving global engineering growth"
Public recruiter profile,Lisa Kondo,LinkedIn,Product Design UX recruiting,"Design Engineer; Product Design; UX roles",https://www.linkedin.com/in/lisakondo,Verify current status,Use only for design/product UX targets,"Public profile snippet says Senior Technical Recruiter for Product Design UX"
Public recruiter profile,Cathal Herron,LinkedIn,EMEA technical recruiting,"Dublin; EMEA engineering roles",https://ie.linkedin.com/in/cathal-herron-a2351216b,Verify current status,Use for EMEA targets,"Public profile snippet says Technical Recruiter on Stripe EMEA team"
Public recruiter profile,Tim Shibuya,LinkedIn,Technical recruiting and PM hiring posts,"Product manager; payments PM roles",https://www.linkedin.com/in/timshibuya,Verify current status,Use only if targeting PM roles,"Public posts mention Stripe Payments PM hiring"
Public source,AnnE Diemer,Stripe guide,Recruiting strategy reference,Outreach strategy,https://stripe.com/guides/atlas/recruiting,Reference,Use guide principles for messages,Official guide recommends concise personalized outreach and follow-up
Target role,Backend Engineer AI Security,Stripe Jobs,Security AI infrastructure,Security and AI infrastructure,https://stripe.com/jobs/listing/backend-engineer-ai-security/7826765,Ready,Apply then message AI/security recruiter,"Foundational first-engineer role; mentions AI threat detection and prompt injection defenses"
Target role,Software Engineer Security Analytics Infrastructure,Stripe Jobs,Security analytics,Security engineering,https://stripe.com/jobs/listing/software-engineer-security-analytics-infrastructure/7826761,Ready,Apply then message security recruiter,"Mentions SIEM SOAR endpoint detection observability threat intel and AI infrastructure"
Target role,Software Engineer Secrets Infrastructure,Stripe Jobs,Security infrastructure,PKI secrets infrastructure,https://stripe.com/jobs/listing/software-engineer-secrets-infrastructure/7396679,Ready,Apply then message security/infrastructure recruiter,"Mentions certificate authority secrets management Go Java Ruby Python"
Target role,Backend Engineer Core Technology,Stripe Jobs,Infrastructure and corporate tech,Core infrastructure developer infrastructure data infrastructure,https://stripe.com/jobs/listing/backend-engineer-core-technology/6042172,Ready,Apply then message infrastructure recruiter,"Locations include Seattle New York South San Francisco and Remote US"
Target role,Backend API Engineer Money as a Service,Stripe Jobs,Money movement APIs,Backend API financial systems,https://stripe.com/jobs/listing/backend-api-engineer-money-as-a-service/6176758,Ready,Apply then message relevant recruiter or hiring-team employee,"Mentions accounts connect MMS BaaS crypto and large-scale money movement APIs"
